,HODBIN2,DATE,station_id,WEEKDAY,LAT,LON,ENTRIES_diff_sum,EXITS_diff_sum
190,4,10/14/2019,42 ST-PORT AUTH-1237ACEGNRSW,Monday,40.757303,-73.98978699999999,189.0,216.0
191,4,10/14/2019,42 ST-PORT AUTH-1237ACENQRSW,Monday,40.757303,-73.98978699999999,1100.0,1042.0
192,4,10/14/2019,47-50 STS ROCK-BDFM,Monday,40.758652000000005,-73.981311,846.0,277.0
193,4,10/14/2019,49 ST-NQRW,Monday,40.760139,-73.984112,355.0,76.0
194,4,10/14/2019,5 AV/53 ST-EM,Monday,40.760179,-73.975196,40.0,321.0
195,4,10/14/2019,5 AV/59 ST-NQRW,Monday,40.764909,-73.973372,34.0,92.0
196,4,10/14/2019,5 AVE-7BDFM,Monday,40.753824,-73.981966,114.0,75.0
197,4,10/14/2019,50 ST-1,Monday,40.761675,-73.983908,400.0,148.0
198,4,10/14/2019,50 ST-CE,Monday,40.762439,-73.985989,576.0,280.0
199,4,10/14/2019,51 ST-6,Monday,40.757108,-73.97187,150.0,162.0
200,4,10/14/2019,57 ST-7 AV-NQRW,Monday,40.764755,-73.980646,447.0,227.0
201,4,10/14/2019,57 ST-F,Monday,40.763625,-73.977449,138.0,102.0
202,4,10/14/2019,59 ST COLUMBUS-1ABCD,Monday,40.76811,-73.981891,1000.0,466.0
203,4,10/14/2019,59 ST-456NQRW,Monday,40.762796,-73.967686,525.0,256.0
204,4,10/14/2019,59 ST-NRW,Monday,40.641426,-74.017972,100.0,230.0
205,4,10/14/2019,7 AV-BDE,Monday,40.762877,-73.98159,196.0,219.0
206,4,10/14/2019,7 AV-BQ,Monday,40.677172,-73.972514,53.0,52.0
207,4,10/14/2019,7 AV-FG,Monday,40.666276,-73.980324,46.0,71.0
208,4,10/14/2019,GRD CNTRL-42 ST-4567S,Monday,40.751849,-73.976945,713.0,761.0
209,4,10/14/2019,LEXINGTON AV/53-6EM,Monday,40.757529999999996,-73.969102,233.0,226.0
210,4,10/14/2019,TIMES SQ-42 ST-1237ACENQRS,Monday,40.755905,-73.98650400000001,975.0,153.0
211,4,10/14/2019,TIMES SQ-42 ST-1237ACENQRSW,Monday,40.755905,-73.98650400000001,2031.0,1045.0
212,4,10/15/2019,42 ST-BRYANT PK-7BDFM,Tuesday,40.754197999999995,-73.984573,947.0,394.0
213,4,10/15/2019,42 ST-PORT AUTH-1237ACEGNRSW,Tuesday,40.757303,-73.98978699999999,148.0,200.0
214,4,10/15/2019,42 ST-PORT AUTH-1237ACENQRSW,Tuesday,40.757303,-73.98978699999999,1009.0,917.0
215,4,10/15/2019,47-50 STS ROCK-BDFM,Tuesday,40.758652000000005,-73.981311,1087.0,275.0
216,4,10/15/2019,49 ST-NQRW,Tuesday,40.760139,-73.984112,277.0,119.0
217,4,10/15/2019,5 AV/53 ST-EM,Tuesday,40.760179,-73.975196,57.0,475.0
218,4,10/15/2019,5 AV/59 ST-NQRW,Tuesday,40.764909,-73.973372,24.0,153.0
219,4,10/15/2019,5 AVE-7BDFM,Tuesday,40.753824,-73.981966,58.0,18.0
220,4,10/15/2019,50 ST-1,Tuesday,40.761675,-73.983908,488.0,193.0
221,4,10/15/2019,50 ST-CE,Tuesday,40.762439,-73.985989,434.0,202.0
